model_version,prob_mean,prob_min,prob_max,n,observed_rate
v1,0.056450478609586595,0.0067315053471440995,0.10120372058117214,767,0.007822685788787484
v1,0.14191499690645923,0.10144703206407264,0.19564048764994796,614,0.004885993485342019
v1,0.2391991885686162,0.19632269150664075,0.28996991868993516,287,0.13588850174216027
v1,0.33075562416113136,0.2902438690683884,0.38425234640282047,164,0.14634146341463414
v1,0.42487973041154337,0.3861527998287766,0.47716963726868816,114,0.42105263157894735
v1,0.5266734335522594,0.4796415100873798,0.5731475909138463,116,0.4482758620689655
v1,0.6203188820347125,0.5749855959490017,0.6651082153950576,73,0.4794520547945205
v1,0.6979995248961688,0.6683544108027705,0.7297805736923557,27,0.48148148148148145
v1,0.8076969439738493,0.764129238977274,0.851560140379426,34,0.5294117647058824
v1,0.920862571644224,0.8927589462967453,0.9517373927139531,12,0.16666666666666666
