model_version,prob_mean,prob_min,prob_max,n,observed_rate
v1,0.07038046535351833,0.009671513218316113,0.1022667566191313,16395,0.0044525770051845074
v1,0.14648279325842928,0.10227710703898957,0.1948657164503437,29228,0.024497057615984672
v1,0.23266903801728847,0.19486787452523535,0.28743717141603764,14330,0.09623168178646196
v1,0.32964009560959356,0.2874918828021085,0.3800337759124526,5619,0.25289197366079375
v1,0.4238209397335355,0.38011402647402304,0.4725527834996445,3451,0.43639524775427413
v1,0.5136840602415064,0.47266617442818915,0.5652210414920371,2085,0.5376498800959233
v1,0.6075966544543615,0.5652554540348559,0.6577563700262411,1208,0.6076158940397351
v1,0.7005038714721079,0.6578559714916608,0.7503746500509032,777,0.6087516087516087
v1,0.79224273584774,0.7506474029673017,0.84289241706434,377,0.7241379310344828
v1,0.8775215888158427,0.8434269178499926,0.9356429486603068,154,0.8051948051948052
