model_version,prob_mean,prob_min,prob_max,n,observed_rate
v1,0.05948811509436427,0.004262499129914278,0.10208420846698642,26493,0.007851130487298531
v1,0.14459149041528416,0.10209068072082268,0.19989563338869107,21825,0.026758304696449027
v1,0.24224103037083067,0.19991954931242317,0.29771604341828745,8025,0.11526479750778816
v1,0.342383501174731,0.29774155468040586,0.39554643023272473,4272,0.24297752808988765
v1,0.44153912811750606,0.3955908855094055,0.49338979213661477,3109,0.38308137664844
v1,0.5410619971349929,0.49352138580627186,0.5912201657666242,2529,0.46302886516409647
v1,0.6361368963539107,0.5913414057484767,0.6889342888328284,1998,0.5515515515515516
v1,0.7334005660210894,0.6891810071807883,0.7867596608068406,1252,0.5806709265175719
v1,0.8291145260294053,0.7868795333029986,0.8844620354406587,597,0.6566164154103853
v1,0.9214006666979213,0.8853149507444145,0.9825256580657122,186,0.7634408602150538
